name,typ,node,deratef_2016
Hongsa_LigniteU1,coal,HongsaLignite,1
Hongsa_LigniteU2,coal,HongsaLignite,1
Hongsa_LigniteU3,coal,HongsaLignite,1
Mit_lao,biomass,Mitlao,1
Houg_Anh,biomass,HougAnh,1
Chin_MengLa,imp_china,ChinMengLa,1
EGAT_Bungkan,imp_egat,EGATBungkan,1
EGAT_Mukdahan,imp_egat,EGATMukdahan,1
SLACK_RoiEt2,slack,EGATRoiEt2,1
SLACK_Ubon2,slack,EGATUbon2,1
SLACK_Ubon3,slack,EGATUdon3,1
SLACK_PleiKu,slack,VietPleiKu,1
SLACK_Nasaithong,slack,Nasaithong,1
SLACK_NongKhai,slack,EGATNongKhai,1
SLACK_MaeMoh,slack,EGATMaeMoh,1
SLACK_NakhouPhanom,slack,EGATNakhouPhanom,1
SLACK_SakonNakhou,slack,EGATSakonNakhou,1
SLACK_ThanhMy,slack,VietThanhMy,1
SLACK_Khampongsalao,slack,CambKhampongsalao,1
